timestamp,scale_used,mean_pairwise_rel,variance_anchors,range_rel,gap_system_to_now_rel,n_anchors,P_now,i,vbt_rolling_return_std,atr_14,mean_abs_pairwise,mean_pairwise_per_atr,gpr_cohort_inter_rel,gpr_cohort_intra_rel,p_system,predictor_prices,compression_mean_pairwise
2026-04-25 19:00:00+00:00,77330.01000000001,0.0030000000000000105,13454.843504850323,0.0030000000000000105,1.881794044558749e-16,2.0,77330.01,618.0,0.0022095333154606134,231.78003422735034,231.99003000000084,1.0009060132092504,0.0030000000000000105,,77330.01000000001,"{'eth_beta_pair_1d': 77446.005015, 'war_news_fwd_4h': 77214.014985}",1.00000000000001
2026-04-25 20:00:00+00:00,77479.13,0.0029999999999998947,13506.78506750208,0.0029999999999998947,0.0,2.0,77479.13,619.0,0.0014459950251001466,227.41360321111063,232.43738999999186,1.022090968692922,0.0029999999999998947,,77479.13,"{'eth_beta_pair_1d': 77595.34869500001, 'war_news_fwd_4h': 77362.91130500002}",0.9999999999999614
2026-04-25 21:00:00+00:00,77525.84,0.00300000000000008,13523.07570233832,0.00300000000000008,0.0,2.0,77525.84,620.0,0.0014287743094588336,219.36977441031723,232.5775200000062,1.060207681870451,0.00300000000000008,,77525.84,"{'eth_beta_pair_1d': 77642.12876, 'war_news_fwd_4h': 77409.55124}",1.0000000000000617
2026-04-25 22:00:00+00:00,77557.01,0.0029999999999999706,13533.952050314958,0.0029999999999999706,0.0,2.0,77557.01,621.0,0.0006729836856237021,213.41193338100933,232.6710299999977,1.0902437661937332,0.0029999999999999706,,77557.01,"{'eth_beta_pair_1d': 77673.345515, 'war_news_fwd_4h': 77440.674485}",0.9999999999999636
2026-04-25 23:00:00+00:00,77625.0,0.003,13557.69140625,0.003,0.0,2.0,77625.0,622.0,0.0006731432847280869,206.73965242522297,232.875,1.1264167142983377,0.003,,77625.0,"{'eth_beta_pair_1d': 77741.4375, 'war_news_fwd_4h': 77508.5625}",1.0000000000000098
2026-04-26 00:00:00+00:00,77502.4,0.003000000000000094,13514.899512960847,0.003000000000000094,0.0,2.0,77502.4,623.0,0.0012758898212274952,206.00753439484924,232.5072000000073,1.1286344486525761,0.003000000000000094,,77502.4,"{'eth_beta_pair_1d': 77618.6536, 'war_news_fwd_4h': 77386.1464}",1.0000000000000313
2026-04-26 01:00:00+00:00,77461.16,0.003000000000000052,13500.52044422807,0.003000000000000052,0.0,2.0,77461.16,624.0,0.001007552885992015,199.98199622378817,232.38348000000406,1.1620220039205793,0.003000000000000052,,77461.16,"{'eth_beta_pair_1d': 77577.35174000001, 'war_news_fwd_4h': 77344.96826000001}",0.999999999999986
2026-04-26 02:00:00+00:00,77512.67000000001,0.003000000000000049,13518.481523690472,0.003000000000000049,1.8773595630710242e-16,2.0,77512.67,625.0,0.0010178817892820733,195.6189964935172,232.53801000000385,1.1887291836082503,0.003000000000000049,,77512.67000000001,"{'eth_beta_pair_1d': 77628.93900500001, 'war_news_fwd_4h': 77396.400995}",0.999999999999999
2026-04-26 03:00:00+00:00,77400.21000000002,0.002999999999999897,13479.283143098306,0.002999999999999897,1.8800873057536727e-16,2.0,77400.21,626.0,0.001148546090616356,197.0354967439811,232.2006299999921,1.1784710564193566,0.002999999999999897,,77400.21000000002,"{'eth_beta_pair_1d': 77516.31031500001, 'war_news_fwd_4h': 77284.10968500002}",0.9999999999999493
2026-04-26 04:00:00+00:00,77774.29,0.0030000000000000465,13609.890416259646,0.0030000000000000465,0.0,2.0,77774.29,627.0,0.002642627265903928,213.74510411941006,233.3228700000036,1.0915939850938354,0.0030000000000000465,,77774.29,"{'eth_beta_pair_1d': 77890.951435, 'war_news_fwd_4h': 77657.62856499999}",1.00000000000005
2026-04-26 05:00:00+00:00,77983.31,0.003000000000000032,13683.142436751517,0.003000000000000032,0.0,2.0,77983.31,628.0,0.002535604739143862,232.77973953945192,233.9499300000025,1.0050270288250418,0.003000000000000032,,77983.31,"{'eth_beta_pair_1d': 78100.284965, 'war_news_fwd_4h': 77866.335035}",0.9999999999999952
2026-04-26 06:00:00+00:00,77999.04000000001,0.0029999999999999996,13688.6630420736,0.0029999999999999996,1.8656531193674757e-16,2.0,77999.04,629.0,0.0024262301136460124,226.5490438580627,233.99712,1.032876219714278,0.0029999999999999996,,77999.04000000001,"{'eth_beta_pair_1d': 78116.03856, 'war_news_fwd_4h': 77882.04144}",0.9999999999999891
2026-04-26 07:00:00+00:00,78102.53,0.002999999999999958,13725.01168290164,0.002999999999999958,0.0,2.0,78102.53,630.0,0.002394822526054325,221.30196929677226,234.3075899999967,1.0587686623149004,0.002999999999999958,,78102.53,"{'eth_beta_pair_1d': 78219.683795, 'war_news_fwd_4h': 77985.37620500001}",0.9999999999999861
2026-04-26 08:00:00+00:00,78032.59,0.003000000000000097,13700.441479744113,0.003000000000000097,0.0,2.0,78032.59,631.0,0.002229797403134023,219.09111434700324,234.09777000000759,1.0684950446198211,0.003000000000000097,,78032.59,"{'eth_beta_pair_1d': 78149.63888500001, 'war_news_fwd_4h': 77915.541115}",1.0000000000000464
2026-04-26 09:00:00+00:00,77999.99,0.003000000000000056,13688.99649000074,0.003000000000000056,0.0,2.0,77999.99,632.0,0.0014417952630751147,212.8603204650745,233.9999700000044,1.0993123071916,0.003000000000000056,,77999.99,"{'eth_beta_pair_1d': 78116.98998500001, 'war_news_fwd_4h': 77882.990015}",0.9999999999999862
2026-04-26 10:00:00+00:00,78002.43,0.0029999999999999246,13689.852943285336,0.0029999999999999246,0.0,2.0,78002.43,633.0,0.0008316209854079904,204.5267261461408,234.0072899999941,1.1441403987114551,0.0029999999999999246,,78002.43,"{'eth_beta_pair_1d': 78119.433645, 'war_news_fwd_4h': 77885.426355}",0.9999999999999561
2026-04-26 11:00:00+00:00,78101.44,0.002999999999999944,13724.628592665089,0.002999999999999944,0.0,2.0,78101.44,634.0,0.0010004521034333834,200.4583885642741,234.30431999999564,1.1688426794115894,0.002999999999999944,,78101.44,"{'eth_beta_pair_1d': 78218.59216, 'war_news_fwd_4h': 77984.28784}",1.0000000000000064
2026-04-26 12:00:00+00:00,77833.08,0.0030000000000000595,13630.473770144943,0.0030000000000000595,0.0,2.0,77833.08,635.0,0.001733224719709675,209.81850366682593,233.49924000000465,1.112862954979327,0.0030000000000000595,,77833.08,"{'eth_beta_pair_1d': 77949.82962, 'war_news_fwd_4h': 77716.33038}",1.0000000000000384
2026-04-26 13:00:00+00:00,77977.79000000001,0.002999999999999985,13681.205399889088,0.002999999999999985,1.8661615350174517e-16,2.0,77977.79,636.0,0.002058732540572456,209.08575340490964,233.93336999999883,1.1188393574906559,0.002999999999999985,,77977.79000000001,"{'eth_beta_pair_1d': 78094.756685, 'war_news_fwd_4h': 77860.823315}",0.9999999999999751
2026-04-26 14:00:00+00:00,78095.66,0.0030000000000000564,13722.597249380617,0.0030000000000000564,0.0,2.0,78095.66,637.0,0.0021711150022836346,215.67248530455814,234.2869800000044,1.086309084207752,0.0030000000000000564,,78095.66,"{'eth_beta_pair_1d': 78212.80349, 'war_news_fwd_4h': 77978.51651}",1.0000000000000238
2026-04-26 15:00:00+00:00,78049.0,0.002999999999999964,13706.204402249672,0.002999999999999964,0.0,2.0,78049.0,638.0,0.0022046875686574504,209.76945063994677,234.1469999999972,1.1162111512695556,0.002999999999999964,,78049.0,"{'eth_beta_pair_1d': 78166.0735, 'war_news_fwd_4h': 77931.9265}",0.9999999999999692
2026-04-26 16:00:00+00:00,77919.43,0.002999999999999974,13660.734535930784,0.002999999999999974,0.0,2.0,77919.43,639.0,0.002212571823203356,206.71806130852224,233.75828999999794,1.1308072866023968,0.002999999999999974,,77919.43,"{'eth_beta_pair_1d': 78036.30914499999, 'war_news_fwd_4h': 77802.550855}",1.0000000000000033
2026-04-26 17:00:00+00:00,78018.57,0.0030000000000000066,13695.51884590109,0.0030000000000000066,0.0,2.0,78018.57,640.0,0.0015276811102527793,206.23819978648493,234.05571000000054,1.134880493731591,0.0030000000000000066,,78018.57,"{'eth_beta_pair_1d': 78135.59785500001, 'war_news_fwd_4h': 77901.54214500001}",1.0000000000000109
2026-04-26 18:00:00+00:00,78283.96,0.003000000000000025,13788.851384883834,0.003000000000000025,0.0,2.0,78283.96,641.0,0.0019686259459519495,217.1340426588788,234.85188000000198,1.0815986158787556,0.003000000000000025,,78283.96,"{'eth_beta_pair_1d': 78401.38594000001, 'war_news_fwd_4h': 78166.53406}",1.0000000000000062
2026-04-26 19:00:00+00:00,78221.16,0.003000000000000037,13766.737211427939,0.003000000000000037,0.0,2.0,78221.16,642.0,0.0020264054030645546,236.35589675467355,234.6634800000029,0.9928395408030488,0.003000000000000037,,78221.16,"{'eth_beta_pair_1d': 78338.49174000001, 'war_news_fwd_4h': 78103.82826000001}",1.000000000000004
2026-04-26 20:00:00+00:00,78194.22,0.0030000000000000005,13757.256093168904,0.0030000000000000005,0.0,2.0,78194.22,643.0,0.0020006695626583215,235.16833270076907,234.58266000000003,0.9975095596671417,0.0030000000000000005,,78194.22,"{'eth_beta_pair_1d': 78311.51133000001, 'war_news_fwd_4h': 78076.92867000001}",0.9999999999999879
2026-04-26 21:00:00+00:00,78417.41,0.0029999999999999775,13835.902929993017,0.0029999999999999775,0.0,2.0,78417.41,644.0,0.0018677532819758279,298.17416607928556,235.25222999999824,0.7889758965149377,0.0029999999999999775,,78417.41,"{'eth_beta_pair_1d': 78535.03611500001, 'war_news_fwd_4h': 78299.78388500001}",0.9999999999999923
2026-04-26 22:00:00+00:00,78313.52000000002,0.0030000000000000343,13799.266683278722,0.0030000000000000343,1.8581613019523128e-16,2.0,78313.52,645.0,0.002200624095215474,340.9502970736229,234.94056000000273,0.6890756864460833,0.0030000000000000343,,78313.52000000002,"{'eth_beta_pair_1d': 78430.99028000001, 'war_news_fwd_4h': 78196.04972000001}",1.0000000000000189
2026-04-26 23:00:00+00:00,78657.55000000002,0.0029999999999999493,13920.772887005161,0.0029999999999999493,1.8500341325615722e-16,2.0,78657.55,646.0,0.002519968399007037,378.0667044255071,235.97264999999607,0.6241561270479222,0.0029999999999999493,,78657.55000000002,"{'eth_beta_pair_1d': 78775.53632500001, 'war_news_fwd_4h': 78539.56367500001}",0.9999999999999717
2026-04-27 00:00:00+00:00,79308.6,0.002999999999999965,14152.171576409673,0.002999999999999965,0.0,2.0,79308.6,647.0,0.0038547252951999416,421.94551125225627,237.92579999999725,0.5638780213442193,0.002999999999999965,,79308.6,"{'eth_beta_pair_1d': 79427.5629, 'war_news_fwd_4h': 79189.6371}",1.000000000000005
2026-04-27 01:00:00+00:00,79283.66,0.0030000000000000365,14143.272171740444,0.0030000000000000365,0.0,2.0,79283.66,648.0,0.0038486943333758544,445.7315461628092,237.8509800000029,0.5336193546263489,0.0030000000000000365,,79283.66,"{'eth_beta_pair_1d': 79402.58549000001, 'war_news_fwd_4h': 79164.73451000001}",1.0000000000000238
2026-04-27 02:00:00+00:00,79130.01000000001,0.0029999999999999367,14088.506585849635,0.0029999999999999367,1.8389881700213167e-16,2.0,79130.01,649.0,0.004384109121225188,433.40000715117975,237.39002999999502,0.5477388695962526,0.0029999999999999367,,79130.01000000001,"{'eth_beta_pair_1d': 79248.705015, 'war_news_fwd_4h': 79011.314985}",0.9999999999999668
2026-04-27 03:00:00+00:00,79105.49000000002,0.003000000000000065,14079.776733315844,0.003000000000000065,1.8395581935421736e-16,2.0,79105.49,650.0,0.0042227048187643305,419.4921494975242,237.3164700000052,0.5657232686815891,0.003000000000000065,,79105.49000000002,"{'eth_beta_pair_1d': 79224.14823500002, 'war_news_fwd_4h': 78986.83176500001}",1.0000000000000429
2026-04-27 04:00:00+00:00,78924.22,0.00300000000000003,14015.32313086918,0.00300000000000003,0.0,2.0,78924.22,651.0,0.004340708350751886,410.06985310484407,236.77266000000236,0.5773959197616652,0.00300000000000003,,78924.22,"{'eth_beta_pair_1d': 79042.60633000001, 'war_news_fwd_4h': 78805.83367}",0.9999999999999883
2026-04-27 05:00:00+00:00,77785.54,0.0030000000000000764,13613.828024456792,0.0030000000000000764,0.0,2.0,77785.54,652.0,0.0059791470448649995,479.01986359735486,233.35662000000593,0.48715437027504205,0.0030000000000000764,,77785.54,"{'eth_beta_pair_1d': 77902.21831, 'war_news_fwd_4h': 77668.86168999999}",1.0000000000000155
2026-04-27 06:00:00+00:00,77700.12,0.002999999999999958,13583.94445803202,0.002999999999999958,0.0,2.0,77700.12,653.0,0.005872411168156734,473.8648733404004,233.10035999999673,0.4919131446836518,0.002999999999999958,,77700.12,"{'eth_beta_pair_1d': 77816.67018, 'war_news_fwd_4h': 77583.56982}",0.9999999999999606
2026-04-27 07:00:00+00:00,77606.6,0.0029999999999999675,13551.264818009708,0.0029999999999999675,0.0,2.0,77606.6,654.0,0.005946006930465309,452.35381095894263,232.81979999999749,0.5146851742145024,0.0029999999999999675,,77606.6,"{'eth_beta_pair_1d': 77723.0099, 'war_news_fwd_4h': 77490.1901}",1.000000000000003
2026-04-27 08:00:00+00:00,77804.34,0.002999999999999906,13620.409476379245,0.002999999999999906,0.0,2.0,77804.34,655.0,0.006486145165704245,438.824967319018,233.41301999999268,0.5319046029354696,0.002999999999999906,,77804.34,"{'eth_beta_pair_1d': 77921.04651, 'war_news_fwd_4h': 77687.63349000001}",0.9999999999999795
2026-04-27 09:00:00+00:00,77900.01000000001,0.002999999999999906,13653.926005499372,0.002999999999999906,1.8680248216100164e-16,2.0,77900.01,656.0,0.006805562495449706,427.48032679623105,233.7000299999927,0.5466918951603392,0.002999999999999906,,77900.01000000001,"{'eth_beta_pair_1d': 78016.860015, 'war_news_fwd_4h': 77783.159985}",1.0
2026-04-27 10:00:00+00:00,77850.01000000001,0.0029999999999999805,13636.404128250051,0.0029999999999999805,1.8692245804935479e-16,2.0,77850.01,657.0,0.0016531494436884844,407.1745891679287,233.55002999999851,0.5735869482358017,0.0029999999999999805,,77850.01000000001,"{'eth_beta_pair_1d': 77966.785015, 'war_news_fwd_4h': 77733.234985}",1.0000000000000249
2026-04-27 11:00:00+00:00,77844.26000000001,0.0029999999999999237,13634.38983363141,0.0029999999999999237,1.8693626515772455e-16,2.0,77844.26,658.0,0.0015148929392007455,388.4528327987914,233.5327799999941,0.6011869660401166,0.0029999999999999237,,77844.26000000001,"{'eth_beta_pair_1d': 77961.02639, 'war_news_fwd_4h': 77727.49361}",0.999999999999981
2026-04-27 12:00:00+00:00,77667.36,0.003000000000000073,13572.49232108226,0.003000000000000073,0.0,2.0,77667.36,659.0,0.0018344723609044354,378.3726304560207,233.00208000000566,0.6158005660165955,0.003000000000000073,,77667.36,"{'eth_beta_pair_1d': 77783.86104, 'war_news_fwd_4h': 77550.85896}",1.0000000000000497
2026-04-27 13:00:00+00:00,77746.74000000002,0.0029999999999999016,13600.250056411214,0.0029999999999999016,1.8717074475877507e-16,2.0,77746.74,660.0,0.001416835031949665,379.56101399487704,233.2402199999924,0.6144999391405895,0.0029999999999999016,,77746.74000000002,"{'eth_beta_pair_1d': 77863.36011000001, 'war_news_fwd_4h': 77630.11989000002}",0.9999999999999429
2026-04-27 14:00:00+00:00,77815.25,0.0029999999999999866,13624.229548265503,0.0029999999999999866,0.0,2.0,77815.25,661.0,0.0013385894524300468,394.25951299524274,233.44574999999895,0.5921119016925681,0.0029999999999999866,,77815.25,"{'eth_beta_pair_1d': 77931.972875, 'war_news_fwd_4h': 77698.52712500001}",1.0000000000000284
2026-04-27 15:00:00+00:00,76793.09,0.0030000000000000642,13268.65201143379,0.0030000000000000642,0.0,2.0,76793.09,662.0,0.005972042871963748,456.3009763527252,230.3792700000049,0.504884455522005,0.0030000000000000642,,76793.09,"{'eth_beta_pair_1d': 76908.279635, 'war_news_fwd_4h': 76677.900365}",1.000000000000026
2026-04-27 16:00:00+00:00,76618.59,0.0029999999999999307,13208.418750572611,0.0029999999999999307,0.0,2.0,76618.59,663.0,0.005807570092817753,446.7087637561016,229.85576999999466,0.5145539748700645,0.0029999999999999307,,76618.59,"{'eth_beta_pair_1d': 76733.517885, 'war_news_fwd_4h': 76503.662115}",0.9999999999999555
2026-04-27 17:00:00+00:00,76743.24,0.0030000000000000387,13251.430992819945,0.0030000000000000387,0.0,2.0,76743.24,664.0,0.006204065111051623,441.3609949163798,230.229720000003,0.5216358551204152,0.0030000000000000387,,76743.24,"{'eth_beta_pair_1d': 76858.35486, 'war_news_fwd_4h': 76628.12514}",1.000000000000036
2026-04-27 18:00:00+00:00,76834.06,0.0029999999999999463,13282.813746187623,0.0029999999999999463,0.0,2.0,76834.06,665.0,0.006226538402860467,425.7259238509242,230.50217999999586,0.5414332721742133,0.0029999999999999463,,76834.06,"{'eth_beta_pair_1d': 76949.31109, 'war_news_fwd_4h': 76718.80891}",0.9999999999999692
2026-04-27 19:00:00+00:00,76878.07,0.003000000000000049,13298.034705581464,0.003000000000000049,0.0,2.0,76878.07,666.0,0.006188019174505995,426.392643575858,230.6342100000038,0.5408963158131327,0.003000000000000049,,76878.07,"{'eth_beta_pair_1d': 76993.38710500002, 'war_news_fwd_4h': 76762.75289500001}",1.0000000000000342
